,Enough,Hours,PhoneReach,PhoneTime,Tired,Breakfast
31,0,8.0,0,1,3,1
14,1,7.0,0,1,3,1
49,0,4.0,1,1,2,1
34,0,7.0,0,1,3,1
67,0,7.0,1,1,3,1
24,0,5.0,1,1,2,0
37,1,9.0,0,1,2,1
32,0,6.0,1,1,4,0
38,0,5.0,1,0,5,0
0,1,8.0,1,1,3,1
72,0,5.0,1,1,4,0
33,0,6.0,0,0,3,0
76,0,8.0,1,1,4,1
86,0,9.0,0,1,5,1
36,1,7.0,0,0,2,1
70,1,6.0,0,1,4,1
56,0,6.0,1,1,3,0
48,0,6.0,0,1,3,1
47,0,5.0,0,0,5,1
6,1,7.0,1,1,3,1
51,0,8.0,1,1,3,1
73,0,6.0,0,1,5,1
9,0,6.0,1,1,3,1
39,0,7.0,1,1,2,0
35,0,7.0,1,1,3,1
69,0,6.0,1,1,3,1
44,0,4.0,0,0,5,0
57,0,9.0,0,1,5,0
45,0,7.0,1,1,4,0
16,1,6.0,1,1,4,1
82,0,5.0,0,0,4,0
54,0,7.0,1,1,3,1
61,0,7.0,1,1,3,1
40,1,8.0,0,1,1,1
20,0,2.0,1,1,5,0
89,1,8.0,0,1,3,1
78,0,6.0,1,1,3,1
74,1,7.0,1,1,4,1
94,1,8.0,1,1,4,0
2,1,6.0,1,1,2,1
64,0,7.0,1,1,4,1
62,0,2.0,0,0,5,0
103,1,6.0,1,1,3,1
55,0,5.0,0,1,2,1
8,0,4.0,0,1,2,1
15,1,8.0,1,1,3,0
29,1,9.0,0,0,2,1
93,1,9.0,0,0,2,1
83,1,8.0,0,0,2,1
41,0,7.0,0,1,4,1
63,0,8.0,1,1,5,0
30,1,8.0,1,1,2,1
22,0,5.0,1,0,3,1
1,0,6.0,1,1,3,0
7,0,7.0,1,1,3,1
17,1,8.0,1,1,3,1
80,1,6.0,1,1,3,0
18,0,9.0,1,1,3,1
91,1,,0,1,2,1
92,1,7.0,0,1,2,1
4,0,7.0,1,1,2,1
60,0,6.0,1,1,3,0
26,0,6.0,1,1,3,0
79,0,7.0,1,1,4,0
12,1,7.0,1,1,3,0
88,0,6.0,1,0,2,1
87,0,5.0,1,0,4,1
58,0,9.0,1,0,4,1
10,0,10.0,1,1,4,0
43,0,6.0,1,1,3,1
46,1,9.0,1,1,1,1
84,1,8.0,0,1,1,1
52,0,7.0,0,1,4,1
100,0,7.0,0,1,3,1
68,1,7.0,1,0,3,0
21,0,4.0,1,1,2,1
19,1,8.0,1,1,3,0
71,0,5.0,1,1,4,1
25,0,7.0,0,1,5,0
98,0,6.0,1,1,3,0
28,1,7.0,1,0,2,1
66,1,7.0,1,0,1,0
53,0,5.0,1,1,2,0
27,0,6.0,1,1,2,0
5,0,7.0,1,1,4,0
85,0,6.0,1,1,3,0
81,0,6.0,1,1,3,0
95,1,7.0,0,1,2,1
3,0,7.0,1,1,4,0
42,0,5.0,1,1,3,0
90,0,7.0,0,1,4,1
50,0,5.0,1,0,3,0
97,1,7.0,1,1,2,0
13,1,8.0,1,1,2,0
102,1,7.0,1,1,2,1
75,0,6.0,0,1,4,0
77,1,6.0,1,1,4,0
99,0,7.0,1,1,2,1
65,0,,1,0,3,1
23,0,7.0,1,0,3,1
96,0,7.0,1,1,4,1
101,1,8.0,1,1,3,1
59,1,7.0,1,1,2,0
11,0,7.0,1,1,2,1
